"FullAddress", "Speed"
"107.151.152.219:80","69377"
"107.151.152.220:80","62355"
"107.151.152.221:80","60971"
"110.179.42.53:8888","108"
"110.181.183.112:8888","3140"
"111.1.23.143:80","93"
"111.1.23.144:80","115"
"111.1.23.146:80","154"
"107.151.152.222:80","60376"
"111.1.23.169:80","99"
"111.1.23.173:80","125"
"111.1.23.179:80","85"
"111.1.23.180:80","85"
"111.1.23.183:80","87"
"111.1.23.199:80","90"
"111.1.23.210:80","95"
"111.23.6.159:80","101"
"112.111.163.20:8888","195"
"112.114.66.179:8888","9407"
"113.10.206.156:80","2812"
"113.103.94.79:8888","126"
"113.108.82.29:80","86"
"113.108.82.29:8080","83"
"113.224.118.200:8888","3148"
"111.11.121.83:80","60113"
"113.226.249.76:8888","154"
"113.229.7.2:8888","213"
"113.76.102.173:8888","126"
"113.88.248.42:8888","126"
"114.215.159.22:8088","115"
"114.55.139.112:8080","746"
"115.182.15.27:8080","243"
"114.95.185.22:8118","22161"
"115.28.37.153:8081","343"
"117.135.250.88:80","57"
"117.14.135.124:8888","138"
"117.169.17.242:80","73"
"117.169.17.247:80","81"
"117.184.129.134:9999","60105"
"117.184.129.135:9999","60110"
"117.184.129.136:9999","63087"
"119.185.56.30:8888","148"
"119.28.53.199:8080","14927"
"119.29.57.93:8080","60094"
"119.52.211.173:8888","228"
"119.81.189.194:8080","1257"
"119.81.189.194:8123","507"
"119.81.71.27:8080","1883"
"119.81.71.27:8123","809"
"120.25.171.183:8080","969"
"120.52.73.100:100","102"
"120.52.73.100:80","106"
"120.52.73.100:8080","105"
"120.52.73.100:8081","105"
"120.52.73.100:8082","106"
"120.52.73.100:8083","109"
"120.52.73.100:8086","108"
"120.52.73.100:8087","105"
"120.52.73.100:8088","110"
"120.52.73.100:8089","104"
"120.52.73.100:8090","100"
"120.52.73.100:8091","101"
"120.52.73.100:8092","107"
"120.52.73.100:8093","106"
"120.52.73.100:8094","101"
"120.52.73.100:8100","103"
"120.52.73.100:90","102"
"120.52.73.101:100","113"
"120.52.73.101:80","116"
"120.52.73.101:8080","112"
"120.52.73.101:8081","114"
"120.52.73.101:8082","113"
"120.52.73.101:8083","115"
"120.52.73.101:8086","113"
"120.52.73.101:8087","114"
"120.52.73.101:8088","114"
"120.52.73.101:8090","112"
"120.52.73.101:8091","115"
"120.52.73.101:8092","114"
"120.52.73.101:8093","115"
"120.52.73.101:8094","115"
"120.52.73.102:80","115"
"120.52.73.102:8093","115"
"120.52.73.103:100","105"
"120.52.73.103:80","106"
"120.52.73.103:8080","105"
"120.52.73.103:8081","102"
"120.52.73.103:8082","104"
"120.52.73.103:8083","105"
"120.52.73.103:8086","101"
"120.52.73.103:8087","102"
"120.52.73.103:8088","108"
"120.52.73.103:8089","105"
"120.52.73.103:8090","100"
"120.52.73.103:8091","103"
"120.52.73.103:8092","101"
"120.52.73.103:8093","104"
"120.52.73.103:8094","107"
"120.52.73.103:8100","105"
"120.52.73.103:90","111"
"120.52.73.104:100","107"
"120.52.73.104:80","97"
"120.52.73.104:8080","98"
"120.52.73.104:8081","104"
"120.52.73.104:8082","100"
"120.52.73.104:8083","110"
"120.52.73.104:8086","106"
"120.52.73.104:8087","100"
